deu-enh,eng,warning,Qid_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
brautten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
bretzen,pretzel,,Q160525,,,,,,,,,,,,,,,,,,,,,,,,,,,
brode,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
broden,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
broten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
brotenn,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
brott wurst,bratwurst,,Q899882,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruwe,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
bry,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
brye,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
burst,sausage,,Q131419,,,,,,,,,,,,,,,,,,,,,,,,,,,
carpfenn,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
cesaendel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
cesaenel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
cesaeenl,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
chas,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaes,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
ches,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
chnoblauchsals,garlic sauce,,Q13744457,,,,,,,,,,,,,,,,,,,,,,,,,,,
chnodel,dumpling,,Q158382,,,,,,,,,,,,,,,,,,,,,,,,,,,
choch,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chochel,semolina pudding,,Q257971,,,,,,,,,,,,,,,,,,,,,,,,,,,
chodel,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
chraepfel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chraeppfell,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrappfel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrapfen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrapffen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrappfell,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrappfen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrappfhell,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrapphell,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrapphen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrephel,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrephlein,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chreph lein,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chropflin,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuchel,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuchen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuchlen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuchlin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuech,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuechel,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuechell,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuechen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chueech,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chueechel,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chueechen,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
chuchlein,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
codiment,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimentelin,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
codimenten,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
compestkrude,sauerkraut,,Q154166,,,,,,,,,,,,,,,,,,,,,,,,,,,
compostmangolt,sauerkraut,,Q154166,,,,,,,,,,,,,,,,,,,,,,,,,,,
compos,pickle,,Q1503784,,,,,,,,,,,,,,,,,,,,,,,,,,,
condament,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condiment,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimente,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimenten,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimenter,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimentes,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimentlin,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condimentt,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
condinent,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
confect,dosage form,,Q718608,,,,,,,,,,,,,,,,,,,,,,,,,,,
confectien,dosage form,,Q718608,,,,,,,,,,,,,,,,,,,,,,,,,,,
confectt,dosage form,,Q718608,,,,,,,,,,,,,,,,,,,,,,,,,,,
confectenn,dosage form,,Q718608,,,,,,,,,,,,,,,,,,,,,,,,,,,
confectum,dosage form,,Q718608,,,,,,,,,,,,,,,,,,,,,,,,,,,
creppelin,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
crepphen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
croßayer,Krosegg,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cumpost,pickle,,Q1503784,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyger,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
cygern,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesaedel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesaeendel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesaenl,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
czesaeenl,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
czeseinbel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
cziger,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
czisseinlen,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
czisennlein,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
czuger,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
czyger,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
czyseindel,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
dorten,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dortten,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
druessern,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
durden,quiche,,Q722595,,,,,,,,,,,,,,,,,,,,,,,,,,,
einhallatlin,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
element,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
faruellen,fried pastry,,Q5503624,,,,,,,,,,,,,,,,,,,,,,,,,,,
faruollen,fried pastry,,Q5503624,,,,,,,,,,,,,,,,,,,,,,,,,,,
fieressen,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
flade,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fladel,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fladen,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fladenn,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
flad,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaedly,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaedlin,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fleidlin,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fledlin,flat cake,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
frittell,fried pastry,,Q5503624,,,,,,,,,,,,,,,,,,,,,,,,,,,
frittellnn,fried pastry,,Q5503624,,,,,,,,,,,,,,,,,,,,,,,,,,,
furherss,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerhesz,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerhezs,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
furhes,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
furheß,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerhesß,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuer hess,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur hess,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
furhess,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
furhesss,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
furhesz,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
furhezs,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerhes,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerhess,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerhessen,jugging,,Q2974872,,,,,,,,,,,,,,,,,,,,,,,,,,,
fugaczen,fried dumpling,,Q2282540,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabraid,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabraide,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galdrat,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gall,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallementum,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galentein,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galentin,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallentin,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galhartt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galrein,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallran,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallren,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallrenn,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galradt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gal radt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galrad,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galraenn,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallraein,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galraid,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galraidt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galrain,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galray,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galreid,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galreinen,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galreit,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galrey,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galrait,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galraitt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galram,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galrat,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galler,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallrat,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallrait,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallratt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galratt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galredt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
galraydt,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallrien,aspic,warningKONTEXT,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
geislicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebaches,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebachens,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebachenns,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebackenes,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebackenn,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebackens,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebackenz,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
geback,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebacks,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebraten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebratenn,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebrattens,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebrates,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebrattes,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
geischlicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
gekuech,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gelbs prule,yellow sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepratens,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
geprattens,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemaechts,stew,,Q2920963,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemeuß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemues,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueesz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuesze,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemües,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueesß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuees,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueeß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueisze,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuesß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueszs,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemüess,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuoss,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuoß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuosz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemus,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemüse,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuss,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemüß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemüße,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuesze,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuess,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueess,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuesz,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemuez,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemueez,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemusze,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebache,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepacheins,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepachen,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepachens,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepachem,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepachenns,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepackemm,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepocheß,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepratenn,roast,warningPOS,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gepressten essen,pressed food,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
geprests,pressed food,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
geprescz,aspic,,Q837480,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebrod,roast,,Q899560,,,,,,,,,,,,,,,,,,,,,,,,,,,
gebrods,roast,,Q899560,,,,,,,,,,,,,,,,,,,,,,,,,,,
geprotens,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
geprotns,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
gestossens,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gestozzens,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesuepp,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
getranck,drink,,Q40050,,,,,,,,,,,,,,,,,,,,,,,,,,,
getrankch,drink,,Q40050,,,,,,,,,,,,,,,,,,,,,,,,,,,
getrencke,drink,,Q40050,,,,,,,,,,,,,,,,,,,,,,,,,,,
getrencken,drink,,Q40050,,,,,,,,,,,,,,,,,,,,,,,,,,,
geweichcz,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
geislicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geiszlitz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geyczlicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geyslicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geyszlicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geysslicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geysslycz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
geweichten,soft food,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
geweichts,soft food,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
gleilicz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmues,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmües,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmuees,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmuess,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmueß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmueess,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmüess,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmus,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmuss,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmuß,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmüss,puree,,Q636056,,,,,,,,,,,,,,,,,,,,,,,,,,,
griennen suppen,green sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
gumpost,pickle,,Q1503784,,,,,,,,,,,,,,,,,,,,,,,,,,,
gumpst krautt,sauerkraut,,Q154166,,,,,,,,,,,,,,,,,,,,,,,,,,,
hafen bratten,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hafenbraten,unsolved,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
halpraten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallpraten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hals pandt,necklace,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasen orlin,fried dough food,,Q1409247,,,,,,,,,,,,,,,,,,,,,,,,,,,
holbraotten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
holbrattenn,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
holbrattenn,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
holbroden,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
holbroeten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollahippen,krumkake,,Q694022,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollpraten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hollpratten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
holpraten,hollow roast,,Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingemachts,stew,,Q2920963,,,,,,,,,,,,,,,,,,,,,,,,,,,
in gemachtz,stew,,Q2920963,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaes,cheese analogue,,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaes brue,cheese soup,,Q4448062,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaesß brue,cheese soup,,Q4448062,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaeß,cheese analogue,,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaeesz,cheese analogue,,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaesz,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
kauduement,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
kes,cheese analogue,warningKONTEXT,Q1568226,,,,,,,,,,,,,,,,,,,,,,,,,,,
keß brue,cheese soup,,Q4448062,,,,,,,,,,,,,,,,,,,,,,,,,,,
kichlin,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
kickle,cake,,Q13276,,,,,,,,,,,,,,,,,,,,,,,,,,,
